year,parent_entity,parent_type,commodity,production_value_ft,production_unit,total_emissions_MtCO2e,production_value
1962,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,0.9125,Million bbl/yr,0.3638848309,0.9125
1962,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1.84325,Bcf/yr,0.134355212,0.552975
1963,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1.825,Million bbl/yr,0.7277696618,1.825
1963,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,4.4238,Bcf/yr,0.3224525089,1.32714
1964,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,7.3,Million bbl/yr,2.911078647,7.3
1964,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,17.32655,Bcf/yr,1.262938993,5.197965
1965,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,10.95,Million bbl/yr,4.366617971,10.95
1965,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,25.0682,Bcf/yr,1.827230884,7.52046
1966,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,13.505,Million bbl/yr,5.385495497,13.505
1966,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,29.86065,Bcf/yr,2.176554435,8.958195
1967,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,14.6,Million bbl/yr,5.822157294,14.6
1967,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,29.86065,Bcf/yr,2.176554435,8.958195
1968,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,18.25,Million bbl/yr,7.277696618,18.25
1968,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,39.0769,Bcf/yr,2.848330495,11.72307
1969,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,22.265,Million bbl/yr,8.878789874,22.265
1969,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,47.1872,Bcf/yr,3.439493428,14.15616
1970,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,25.7325,Million bbl/yr,10.26155223,25.7325
1970,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,53.8229,Bcf/yr,3.923172191,16.14687
1971,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,34.31,Million bbl/yr,13.68206964,34.31
1971,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,72.9927,Bcf/yr,5.320466397,21.89781
1972,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,37.96,Million bbl/yr,15.13760897,37.96
1972,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,79.6284,Bcf/yr,5.80414516,23.88852
1973,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,117.7125,Million bbl/yr,46.94114319,117.7125
1973,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,97.3236,Bcf/yr,7.093955195,29.19708
1974,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,302.1105,Million bbl/yr,120.4749898,302.1105
1974,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,97.3236,Bcf/yr,7.093955195,29.19708
1975,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,300.6213,Million bbl/yr,119.8811298,300.6213
1975,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,85.89545,Bcf/yr,6.260952881,25.768635
1976,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,347.3997,Million bbl/yr,138.5353217,347.3997
1976,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,97.76598,Bcf/yr,7.126200446,29.329794
1977,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,361.7223,Million bbl/yr,144.246858,361.7223
1977,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,145.124,Bcf/yr,10.57814501,43.5372
1978,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,316.7397,Million bbl/yr,126.3087914,316.7397
1978,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,190.968,Bcf/yr,13.91973207,57.2904
1979,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,322.9155,Million bbl/yr,128.771564,322.9155
1979,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,202.0494,Bcf/yr,14.72745964,60.61482
1980,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,294.1827,Million bbl/yr,117.3135584,294.1827
1980,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,254.2225,Bcf/yr,18.53037726,76.26675
1981,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,248.127,Million bbl/yr,98.94756322,248.127
1981,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,312.732,Bcf/yr,22.79515756,93.8196
1982,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,199.728,Million bbl/yr,79.64711179,199.728
1982,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,329.29935,Bcf/yr,24.00275817,98.789805
1983,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,185.712,Million bbl/yr,74.05784078,185.712
1983,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,310.9508,Bcf/yr,22.6653252,93.28524
1984,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,179.58,Million bbl/yr,71.61253472,179.58
1984,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,355.2764,Bcf/yr,25.89623548,106.58292
1985,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,173.886,Million bbl/yr,69.34189338,173.886
1985,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,385.586,Bcf/yr,28.10551406,115.6758
1986,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,284.643,Million bbl/yr,113.5093369,284.643
1986,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,397.3098,Bcf/yr,28.96006642,119.19294
1987,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,395.4,Million bbl/yr,157.6767804,395.4
1987,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,408.6978,Bcf/yr,29.79014218,122.60934
1988,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,378.6,Million bbl/yr,150.9773118,378.6
1988,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,419.75,Bcf/yr,30.59574135,125.925
1989,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,536.6,Million bbl/yr,213.9842195,536.6
